city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Hyderabad,2017-04-19,,,20,KS Williamson,,2017,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,CB Gaffaney,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",15,,Sunrisers Hyderabad
Kolkata,2017-05-13,,,20,AT Rayudu,,2017,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,A Nand Kishore,S Ravi,,Eden Gardens,9,,Mumbai Indians
Chennai,2015-04-09,,,20,A Nehra,,2015,Chennai Super Kings,Delhi Daredevils,field,Delhi Daredevils,RK Illingworth,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",1,,Chennai Super Kings
Jaipur,2011-04-29,,,20,J Botha,,2011,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,Asad Rauf,SK Tarapore,,Sawai Mansingh Stadium,,7,Rajasthan Royals
Dharamsala,2011-05-21,,,20,S Dhawan,,2011,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,Asad Rauf,AM Saheba,,Himachal Pradesh Cricket Association Stadium,82,,Deccan Chargers
Hyderabad,2014-05-18,,,20,UT Yadav,,2014,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,NJ Llong,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,7,Kolkata Knight Riders
Chandigarh,2012-04-12,,,20,AD Mascarenhas,,2012,Kings XI Punjab,Pune Warriors,field,Kings XI Punjab,VA Kulkarni,SK Tarapore,,"Punjab Cricket Association Stadium, Mohali",,7,Kings XI Punjab
Rajkot,2017-04-23,,,20,HM Amla,,2017,Gujarat Lions,Kings XI Punjab,field,Gujarat Lions,AK Chaudhary,M Erasmus,,Saurashtra Cricket Association Stadium,26,,Kings XI Punjab
Kanpur,2017-05-13,,,20,Mohammed Siraj,,2017,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AK Chaudhary,Nitin Menon,,Green Park,,8,Sunrisers Hyderabad
Delhi,2008-04-19,,,20,MF Maharoof,,2008,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,GA Pratapkumar,,Feroz Shah Kotla,,9,Delhi Daredevils
Johannesburg,2009-05-16,,,20,RG Sharma,,2009,Deccan Chargers,Kolkata Knight Riders,field,Deccan Chargers,RE Koertzen,S Ravi,,New Wanderers Stadium,,6,Deccan Chargers
Hyderabad,2016-04-18,,,20,DA Warner,,2016,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,HDPK Dharmasena,VK Sharma,,"Rajiv Gandhi International Stadium, Uppal",,7,Sunrisers Hyderabad
Kolkata,2016-05-14,D/L,,20,YK Pathan,,2016,Kolkata Knight Riders,Rising Pune Supergiants,bat,Rising Pune Supergiants,A Nand Kishore,BNJ Oxenford,,Eden Gardens,,8,Kolkata Knight Riders
Rajkot,2017-04-07,,,20,CA Lynn,,2017,Gujarat Lions,Kolkata Knight Riders,field,Kolkata Knight Riders,Nitin Menon,CK Nandan,,Saurashtra Cricket Association Stadium,,10,Kolkata Knight Riders
Chennai,2008-05-24,,,20,JA Morkel,,2008,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,DJ Harper,SL Shastri,,"MA Chidambaram Stadium, Chepauk",10,,Rajasthan Royals
Kolkata,2015-05-24,,,20,RG Sharma,,2015,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,HDPK Dharmasena,RK Illingworth,,Eden Gardens,41,,Mumbai Indians
Bangalore,2010-03-23,,,20,RV Uthappa,,2010,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,RE Koertzen,RB Tiffin,,M Chinnaswamy Stadium,36,,Royal Challengers Bangalore
Chandigarh,2016-05-07,,,20,MP Stoinis,,2016,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,HDPK Dharmasena,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali",9,,Kings XI Punjab
Indore,2017-04-08,,,20,GJ Maxwell,,2017,Kings XI Punjab,Rising Pune Supergiant,field,Kings XI Punjab,AK Chaudhary,C Shamshuddin,,Holkar Cricket Stadium,,6,Kings XI Punjab
Bangalore,2008-05-03,,,20,P Kumar,,2008,Royal Challengers Bangalore,Deccan Chargers,field,Deccan Chargers,BR Doctrove,SL Shastri,,M Chinnaswamy Stadium,3,,Royal Challengers Bangalore
Chandigarh,2010-03-24,,,20,AC Voges,,2010,Kings XI Punjab,Rajasthan Royals,field,Kings XI Punjab,BR Doctrove,SK Tarapore,,"Punjab Cricket Association Stadium, Mohali",31,,Rajasthan Royals
Rajkot,2017-04-14,,,20,AJ Tye,,2017,Gujarat Lions,Rising Pune Supergiant,field,Gujarat Lions,A Nand Kishore,S Ravi,,Saurashtra Cricket Association Stadium,,7,Gujarat Lions
Chandigarh,2019-04-08,,,20,KL Rahul,,2019,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,AY Dandekar,M Erasmus,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,6,Kings XI Punjab
Chandigarh,2008-04-25,,,20,KC Sangakkara,,2008,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,Aleem Dar,AM Saheba,,"Punjab Cricket Association Stadium, Mohali",66,,Kings XI Punjab
Hyderabad,2012-05-08,,,20,Mandeep Singh,,2012,Deccan Chargers,Kings XI Punjab,field,Deccan Chargers,HDPK Dharmasena,BNJ Oxenford,,"Rajiv Gandhi International Stadium, Uppal",25,,Kings XI Punjab
Chennai,2019-04-26,,,20,RG Sharma,,2019,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,NJ Llong,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",46,,Mumbai Indians
Hyderabad,2011-04-24,,,20,SL Malinga,,2011,Deccan Chargers,Mumbai Indians,field,Deccan Chargers,HDPK Dharmasena,AL Hill,,"Rajiv Gandhi International Stadium, Uppal",37,,Mumbai Indians
Chennai,2011-05-28,,,20,M Vijay,,2011,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,Asad Rauf,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",58,,Chennai Super Kings
Delhi,2015-04-23,,,20,SS Iyer,,2015,Delhi Daredevils,Mumbai Indians,field,Mumbai Indians,SD Fry,CK Nandan,,Feroz Shah Kotla,37,,Delhi Daredevils
Bangalore,2008-04-28,,,20,MS Dhoni,,2008,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,,M Chinnaswamy Stadium,13,,Chennai Super Kings
Kolkata,2017-04-15,,,20,RV Uthappa,,2017,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AY Dandekar,NJ Llong,,Eden Gardens,17,,Kolkata Knight Riders
Delhi,2011-04-23,,,20,DA Warner,,2011,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,S Asnani,RE Koertzen,,Feroz Shah Kotla,29,,Delhi Daredevils
Delhi,2015-04-12,,,20,DJ Hooda,,2015,Delhi Daredevils,Rajasthan Royals,field,Rajasthan Royals,SD Fry,CB Gaffaney,,Feroz Shah Kotla,,3,Rajasthan Royals
Pune,2013-04-30,,,20,MS Dhoni,,2013,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,S Das,SJA Taufel,,Subrata Roy Sahara Stadium,37,,Chennai Super Kings
Hyderabad,2014-05-14,,,20,WP Saha,,2014,Sunrisers Hyderabad,Kings XI Punjab,field,Kings XI Punjab,VA Kulkarni,PG Pathak,,"Rajiv Gandhi International Stadium, Uppal",,6,Kings XI Punjab
Mumbai,2016-04-28,,,20,RG Sharma,,2016,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,Nitin Menon,RJ Tucker,,Wankhede Stadium,,6,Mumbai Indians
Jaipur,2018-04-29,,,20,KS Williamson,,2018,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,BNJ Oxenford,A Nand Kishore,,Sawai Mansingh Stadium,11,,Sunrisers Hyderabad
Pune,2018-04-20,,,20,SR Watson,,2018,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,KN Ananthapadmanabhan,Nitin Menon,,Maharashtra Cricket Association Stadium,64,,Chennai Super Kings
Bangalore,2016-05-29,,,20,BCJ Cutting,,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,HDPK Dharmasena,BNJ Oxenford,,M Chinnaswamy Stadium,8,,Sunrisers Hyderabad
Johannesburg,2009-05-10,,,20,A Mishra,,2009,Delhi Daredevils,Kolkata Knight Riders,field,Delhi Daredevils,SL Shastri,RB Tiffin,,New Wanderers Stadium,,7,Delhi Daredevils
Nagpur,2010-04-10,,,20,RJ Harris,,2010,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,HDPK Dharmasena,SJA Taufel,,"Vidarbha Cricket Association Stadium, Jamtha",,6,Deccan Chargers
Bangalore,2010-03-16,,,20,JH Kallis,,2010,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,S Das,DJ Harper,,M Chinnaswamy Stadium,,8,Royal Challengers Bangalore
Hyderabad,2008-05-25,,,20,R Vinay Kumar,,2008,Deccan Chargers,Royal Challengers Bangalore,bat,Deccan Chargers,Asad Rauf,RE Koertzen,,"Rajiv Gandhi International Stadium, Uppal",,5,Royal Challengers Bangalore
,2014-04-25,,,20,MM Sharma,,2014,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,BF Bowden,M Erasmus,,Dubai International Cricket Stadium,,7,Chennai Super Kings
Kolkata,2018-04-14,,,20,B Stanlake,,2018,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,AK Chaudhary,A Nand Kishore,,Eden Gardens,,5,Sunrisers Hyderabad
Hyderabad,2016-04-16,,,20,G Gambhir,,2016,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,AK Chaudhary,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,8,Kolkata Knight Riders
Delhi,2010-04-04,,,20,PD Collingwood,,2010,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,BF Bowden,M Erasmus,,Feroz Shah Kotla,37,,Delhi Daredevils
Bangalore,2010-03-18,,,20,JH Kallis,,2010,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,K Hariharan,DJ Harper,,M Chinnaswamy Stadium,,10,Royal Challengers Bangalore
Hyderabad,2015-05-17,,,20,MJ McClenaghan,,2015,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,CB Gaffaney,K Srinath,,"Rajiv Gandhi International Stadium, Uppal",,9,Mumbai Indians
Jaipur,2008-05-04,,,20,Sohail Tanvir,,2008,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Asad Rauf,AV Jayaprakash,,Sawai Mansingh Stadium,,8,Rajasthan Royals
Kolkata,2012-05-14,,,20,MEK Hussey,,2012,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,JD Cloete,SJA Taufel,,Eden Gardens,,5,Chennai Super Kings
Kolkata,2018-05-23,,,20,AD Russell,,2018,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,AK Chaudhary,Nitin Menon,,Eden Gardens,25,,Kolkata Knight Riders
Durban,2009-04-23,,,20,AB de Villiers,,2009,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils,BR Doctrove,SJA Taufel,,Kingsmead,9,,Delhi Daredevils
Delhi,2017-05-04,,,20,RR Pant,,2017,Delhi Daredevils,Gujarat Lions,field,Delhi Daredevils,M Erasmus,Nitin Menon,,Feroz Shah Kotla,,7,Delhi Daredevils
Mumbai,2014-05-23,,,20,MEK Hussey,,2014,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,S Ravi,RJ Tucker,,Wankhede Stadium,15,,Mumbai Indians
Chennai,2015-05-08,,,20,HH Pandya,,2015,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,CB Gaffaney,CK Nandan,,"MA Chidambaram Stadium, Chepauk",,6,Mumbai Indians
Kochi,2011-04-18,D/L,,20,BB McCullum,,2011,Kochi Tuskers Kerala,Chennai Super Kings,field,Kochi Tuskers Kerala,K Hariharan,AL Hill,,Nehru Stadium,,7,Kochi Tuskers Kerala
Kolkata,2015-04-30,,,20,AD Russell,,2015,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,AK Chaudhary,M Erasmus,,Eden Gardens,,7,Kolkata Knight Riders
Ranchi,2014-05-02,,,20,RA Jadeja,,2014,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,AK Chaudhary,NJ Llong,,JSCA International Stadium Complex,34,,Chennai Super Kings
Chennai,2011-05-04,,,20,MEK Hussey,,2011,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,SS Hazare,RB Tiffin,,"MA Chidambaram Stadium, Chepauk",,8,Chennai Super Kings
Delhi,2017-05-06,,,20,LMP Simmons,,2017,Delhi Daredevils,Mumbai Indians,field,Delhi Daredevils,Nitin Menon,CK Nandan,,Feroz Shah Kotla,146,,Mumbai Indians
Hyderabad,2011-04-16,,,20,PC Valthaty,,2011,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,RE Koertzen,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",,8,Kings XI Punjab
Bangalore,2011-05-08,,,20,CH Gayle,,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,Aleem Dar,SS Hazare,,M Chinnaswamy Stadium,,9,Royal Challengers Bangalore
Bangalore,2015-05-02,,,20,Mandeep Singh,,2015,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,JD Cloete,PG Pathak,,M Chinnaswamy Stadium,,7,Royal Challengers Bangalore
Ahmedabad,2014-05-08,,,20,B Kumar,,2014,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,AK Chaudhary,NJ Llong,,"Sardar Patel Stadium, Motera",32,,Sunrisers Hyderabad
Pune,2013-04-11,,,20,AJ Finch,,2013,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,M Erasmus,K Srinath,,Subrata Roy Sahara Stadium,,7,Pune Warriors
,2014-04-27,,,20,DR Smith,,2014,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,AK Chaudhary,VA Kulkarni,,Sharjah Cricket Stadium,,5,Chennai Super Kings
Kolkata,2008-05-08,,,20,SC Ganguly,,2008,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,Asad Rauf,IL Howell,,Eden Gardens,5,,Kolkata Knight Riders
Chennai,2010-04-15,,,20,G Gambhir,,2010,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,HDPK Dharmasena,SS Hazare,,"MA Chidambaram Stadium, Chepauk",,6,Delhi Daredevils
Chennai,2018-04-10,,,20,SW Billings,,2018,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,CB Gaffaney,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",,5,Chennai Super Kings
Rajkot,2016-05-01,,,20,AR Patel,,2016,Gujarat Lions,Kings XI Punjab,field,Gujarat Lions,BNJ Oxenford,VK Sharma,,Saurashtra Cricket Association Stadium,23,,Kings XI Punjab
,2014-04-24,,,20,CA Lynn,,2014,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Aleem Dar,VA Kulkarni,,Sharjah Cricket Stadium,2,,Kolkata Knight Riders
Hyderabad,2015-05-15,D/L,,20,V Kohli,,2015,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,AK Chaudhary,HDPK Dharmasena,,"Rajiv Gandhi International Stadium, Uppal",,6,Royal Challengers Bangalore
Kolkata,2008-05-13,,,20,Shoaib Akhtar,,2008,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Asad Rauf,IL Howell,,Eden Gardens,23,,Kolkata Knight Riders
Mumbai,2010-04-13,,,20,KA Pollard,,2010,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,S Asnani,DJ Harper,,Brabourne Stadium,39,,Mumbai Indians
Mumbai,2010-03-13,,,20,YK Pathan,,2010,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,RE Koertzen,RB Tiffin,,Brabourne Stadium,4,,Mumbai Indians
Bangalore,2016-04-12,,,20,AB de Villiers,,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,HDPK Dharmasena,VK Sharma,,M Chinnaswamy Stadium,45,,Royal Challengers Bangalore
Chandigarh,2018-04-08,,,20,KL Rahul,,2018,Kings XI Punjab,Delhi Daredevils,field,Kings XI Punjab,KN Ananthapadmanabhan,RJ Tucker,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,6,Kings XI Punjab
Kolkata,2014-05-20,,,20,RV Uthappa,,2014,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,RM Deshpande,C Shamshuddin,,Eden Gardens,,8,Kolkata Knight Riders
Visakhapatnam,2015-04-18,,,20,JP Duminy,,2015,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,PG Pathak,S Ravi,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,4,,Delhi Daredevils
Mumbai,2011-04-13,,,20,MD Mishra,,2011,Pune Warriors,Kochi Tuskers Kerala,bat,Kochi Tuskers Kerala,S Asnani,PR Reiffel,,Dr DY Patil Sports Academy,,4,Pune Warriors
Jaipur,2011-05-11,,,20,S Aravind,,2011,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,HDPK Dharmasena,K Hariharan,,Sawai Mansingh Stadium,,9,Royal Challengers Bangalore
Jaipur,2013-05-07,,,20,AM Rahane,,2013,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,Aleem Dar,RJ Tucker,,Sawai Mansingh Stadium,,9,Rajasthan Royals
Pune,2017-04-26,,,20,RV Uthappa,,2017,Rising Pune Supergiant,Kolkata Knight Riders,field,Kolkata Knight Riders,AY Dandekar,NJ Llong,,Maharashtra Cricket Association Stadium,,7,Kolkata Knight Riders
Kochi,2011-04-09,,,20,AB de Villiers,,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,bat,Kochi Tuskers Kerala,HDPK Dharmasena,K Hariharan,,Nehru Stadium,,6,Royal Challengers Bangalore
Bangalore,2015-04-29,,,20,,no result,2015,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,JD Cloete,PG Pathak,,M Chinnaswamy Stadium,,,
Bangalore,2011-05-14,D/L,,20,CH Gayle,,2011,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,RE Koertzen,RB Tiffin,,M Chinnaswamy Stadium,,4,Royal Challengers Bangalore
Hyderabad,2017-04-30,,,20,DA Warner,,2017,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,AY Dandekar,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",48,,Sunrisers Hyderabad
Chandigarh,2012-04-18,,,20,G Gambhir,,2012,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,JD Cloete,RJ Tucker,,"Punjab Cricket Association Stadium, Mohali",,8,Kolkata Knight Riders
Kolkata,2008-05-25,,,20,Umar Gul,,2008,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,SJ Davis,I Shivram,,Eden Gardens,,3,Kolkata Knight Riders
Mumbai,2010-03-25,,,20,SR Tendulkar,,2010,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,BF Bowden,AM Saheba,,Brabourne Stadium,,5,Mumbai Indians
Chandigarh,2016-04-19,,,20,RV Uthappa,,2016,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,S Ravi,C Shamshuddin,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,6,Kolkata Knight Riders
Bangalore,2017-04-08,,,20,KM Jadhav,,2017,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore,,,,M Chinnaswamy Stadium,15,,Royal Challengers Bangalore
Delhi,2008-05-24,,,20,KD Karthik,,2008,Delhi Daredevils,Mumbai Indians,field,Delhi Daredevils,BF Bowden,K Hariharan,,Feroz Shah Kotla,,5,Delhi Daredevils
Mumbai,2010-03-22,,,20,SR Tendulkar,,2010,Mumbai Indians,Kolkata Knight Riders,bat,Kolkata Knight Riders,SS Hazare,SJA Taufel,,Brabourne Stadium,,7,Mumbai Indians
Chandigarh,2016-05-09,,,20,SR Watson,,2016,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,AK Chaudhary,HDPK Dharmasena,,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,,Royal Challengers Bangalore
Johannesburg,2009-05-17,,,20,Yuvraj Singh,,2009,Deccan Chargers,Kings XI Punjab,field,Deccan Chargers,S Ravi,RB Tiffin,,New Wanderers Stadium,1,,Kings XI Punjab
Pune,2017-04-06,,,20,SPD Smith,,2017,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,A Nand Kishore,S Ravi,,Maharashtra Cricket Association Stadium,,7,Rising Pune Supergiant
Hyderabad,2013-05-01,,,20,I Sharma,,2013,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,Asad Rauf,S Asnani,,"Rajiv Gandhi International Stadium, Uppal",,7,Sunrisers Hyderabad
Ahmedabad,2015-04-21,,Kings XI Punjab,20,SE Marsh,tie,2015,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab,M Erasmus,S Ravi,,"Sardar Patel Stadium, Motera",,,
Kolkata,2011-04-22,,,20,CH Gayle,,2011,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,SS Hazare,RB Tiffin,,Eden Gardens,,9,Royal Challengers Bangalore
Hyderabad,2017-05-21,,,20,KH Pandya,,2017,Mumbai Indians,Rising Pune Supergiant,bat,Mumbai Indians,NJ Llong,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",1,,Mumbai Indians
Delhi,2017-04-15,,,20,CJ Anderson,,2017,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,YC Barde,Nitin Menon,,Feroz Shah Kotla,51,,Delhi Daredevils
Kolkata,2008-04-29,,,20,ST Jayasuriya,,2008,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,,Eden Gardens,,7,Mumbai Indians
Hyderabad,2014-05-12,,,20,AT Rayudu,,2014,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,HDPK Dharmasena,VA Kulkarni,,"Rajiv Gandhi International Stadium, Uppal",,7,Mumbai Indians
Chennai,2011-05-27,,,20,CH Gayle,,2011,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,Asad Rauf,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",43,,Royal Challengers Bangalore
Jaipur,2011-04-24,,,20,SK Warne,,2011,Rajasthan Royals,Kochi Tuskers Kerala,field,Rajasthan Royals,BR Doctrove,SK Tarapore,,Sawai Mansingh Stadium,,8,Rajasthan Royals
Kolkata,2015-04-11,,,20,CH Gayle,,2015,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Ravi,C Shamshuddin,,Eden Gardens,,3,Royal Challengers Bangalore
Hyderabad,2008-04-24,,,20,YK Pathan,,2008,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,Asad Rauf,MR Benson,,"Rajiv Gandhi International Stadium, Uppal",,3,Rajasthan Royals
Jaipur,2019-04-07,,,20,HF Gurney,,2019,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,CB Gaffaney,AK Chaudhary,,Sawai Mansingh Stadium,,8,Kolkata Knight Riders
Bangalore,2017-04-14,,,20,KA Pollard,,2017,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,KN Ananthapadmanabhan,AK Chaudhary,,M Chinnaswamy Stadium,,4,Mumbai Indians
Kolkata,2019-04-25,,,20,VR Aaron,,2019,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,AY Dandekar,IJ Gould,,Eden Gardens,,3,Rajasthan Royals
Pune,2012-05-08,,,20,SR Watson,,2012,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,Asad Rauf,BR Doctrove,,Subrata Roy Sahara Stadium,,7,Rajasthan Royals
Rajkot,2016-04-24,,,20,V Kohli,,2016,Gujarat Lions,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,K Bharatan,BNJ Oxenford,,Saurashtra Cricket Association Stadium,,6,Gujarat Lions
Chennai,2010-04-03,,,20,M Vijay,,2010,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,RE Koertzen,RB Tiffin,,"MA Chidambaram Stadium, Chepauk",23,,Chennai Super Kings
Mumbai,2010-04-21,,,20,KA Pollard,,2010,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,BR Doctrove,RB Tiffin,,Dr DY Patil Sports Academy,35,,Mumbai Indians
Kolkata,2008-05-20,,,20,YK Pathan,,2008,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,BG Jerling,RE Koertzen,,Eden Gardens,,6,Rajasthan Royals
Delhi,2016-05-05,,,20,AM Rahane,,2016,Delhi Daredevils,Rising Pune Supergiants,field,Rising Pune Supergiants,C Shamshuddin,RJ Tucker,,Feroz Shah Kotla,,7,Rising Pune Supergiants
Mumbai,2010-03-28,,,20,Harbhajan Singh,,2010,Deccan Chargers,Mumbai Indians,field,Deccan Chargers,S Das,K Hariharan,,Dr DY Patil Sports Academy,41,,Mumbai Indians
Mumbai,2010-04-25,,,20,SK Raina,,2010,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,RE Koertzen,SJA Taufel,,Dr DY Patil Sports Academy,22,,Chennai Super Kings
Delhi,2008-05-15,,,20,A Mishra,,2008,Delhi Daredevils,Deccan Chargers,field,Deccan Chargers,BG Jerling,GA Pratapkumar,,Feroz Shah Kotla,12,,Delhi Daredevils
Chennai,2012-04-12,,,20,F du Plessis,,2012,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,HDPK Dharmasena,RJ Tucker,,"MA Chidambaram Stadium, Chepauk",,5,Chennai Super Kings
Mumbai,2008-04-20,,,20,MV Boucher,,2008,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,SJ Davis,DJ Harper,,Wankhede Stadium,,5,Royal Challengers Bangalore
Delhi,2017-05-12,,,20,KK Nair,,2017,Delhi Daredevils,Rising Pune Supergiant,bat,Delhi Daredevils,KN Ananthapadmanabhan,CK Nandan,,Feroz Shah Kotla,7,,Delhi Daredevils
Kolkata,2017-04-23,,,20,NM Coulter-Nile,,2017,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CB Gaffaney,CK Nandan,,Eden Gardens,82,,Kolkata Knight Riders
Mumbai,2014-05-25,,,20,CJ Anderson,,2014,Mumbai Indians,Rajasthan Royals,field,Mumbai Indians,K Srinath,RJ Tucker,,Wankhede Stadium,,5,Mumbai Indians
Chennai,2015-04-25,,,20,BB McCullum,,2015,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,JD Cloete,C Shamshuddin,,"MA Chidambaram Stadium, Chepauk",97,,Chennai Super Kings
Delhi,2011-05-21,,,20,,no result,2011,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,SS Hazare,RJ Tucker,,Feroz Shah Kotla,,,
