city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Bangalore,2016-05-18,D/L,,20,V Kohli,,2016,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,KN Ananthapadmanabhan,M Erasmus,,M Chinnaswamy Stadium,82,,Royal Challengers Bangalore
Chennai,2010-03-31,,,20,M Vijay,,2010,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,BG Jerling,RE Koertzen,,"MA Chidambaram Stadium, Chepauk",,5,Chennai Super Kings
Jaipur,2008-05-17,,,20,GC Smith,,2008,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BF Bowden,SL Shastri,,Sawai Mansingh Stadium,65,,Rajasthan Royals
Mumbai,2011-04-22,,,20,Harbhajan Singh,,2011,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,Asad Rauf,AM Saheba,,Wankhede Stadium,8,,Mumbai Indians
Mumbai,2015-04-12,,,20,GJ Bailey,,2015,Mumbai Indians,Kings XI Punjab,field,Mumbai Indians,AK Chaudhary,K Srinivasan,,Wankhede Stadium,18,,Kings XI Punjab
Bangalore,2014-05-13,,,20,Yuvraj Singh,,2014,Royal Challengers Bangalore,Delhi Daredevils,field,Delhi Daredevils,K Srinath,RJ Tucker,,M Chinnaswamy Stadium,16,,Royal Challengers Bangalore
Mumbai,2017-04-16,,,20,N Rana,,2017,Mumbai Indians,Gujarat Lions,field,Mumbai Indians,A Nand Kishore,S Ravi,,Wankhede Stadium,,6,Mumbai Indians
Mumbai,2008-04-27,,,20,AC Gilchrist,,2008,Mumbai Indians,Deccan Chargers,field,Deccan Chargers,Asad Rauf,SL Shastri,,Dr DY Patil Sports Academy,,10,Deccan Chargers
Jaipur,2012-04-06,,,20,AM Rahane,,2012,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab,BF Bowden,SK Tarapore,,Sawai Mansingh Stadium,31,,Rajasthan Royals
Bangalore,2015-04-22,,,20,SK Raina,,2015,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,JD Cloete,C Shamshuddin,,M Chinnaswamy Stadium,27,,Chennai Super Kings
Chennai,2011-04-25,,,20,MEK Hussey,,2011,Chennai Super Kings,Pune Warriors,field,Pune Warriors,Aleem Dar,RB Tiffin,,"MA Chidambaram Stadium, Chepauk",25,,Chennai Super Kings
Bangalore,2013-05-18,,,20,V Kohli,,2013,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,C Shamshuddin,RJ Tucker,,M Chinnaswamy Stadium,24,,Royal Challengers Bangalore
Chennai,2008-04-26,,,20,JDP Oram,,2008,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,,"MA Chidambaram Stadium, Chepauk",,9,Chennai Super Kings
Bengaluru,2019-04-07,,,20,K Rabada,,2019,Royal Challengers Bangalore,Delhi Capitals,field,Delhi Capitals,YC Barde,S Ravi,,M.Chinnaswamy Stadium,,4,Delhi Capitals
Kolkata,2017-04-13,,,20,SP Narine,,2017,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,A Deshmukh,NJ Llong,,Eden Gardens,,8,Kolkata Knight Riders
Jaipur,2008-05-26,,,20,Sohail Tanvir,,2008,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,BF Bowden,K Hariharan,,Sawai Mansingh Stadium,,5,Rajasthan Royals
Ahmedabad,2010-03-26,,,20,YK Pathan,,2010,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers,HDPK Dharmasena,SJA Taufel,,"Sardar Patel Stadium, Motera",,8,Rajasthan Royals
Visakhapatnam,2016-05-08,,,20,A Nehra,,2016,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,S Ravi,C Shamshuddin,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,85,,Sunrisers Hyderabad
Mumbai,2019-03-24,,,20,RR Pant,,2019,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,YC Barde,S Ravi,,Wankhede Stadium,37,,Delhi Capitals
Hyderabad,2017-04-09,,,20,Rashid Khan,,2017,Sunrisers Hyderabad,Gujarat Lions,field,Sunrisers Hyderabad,A Deshmukh,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",,9,Sunrisers Hyderabad
Chandigarh,2008-05-23,,,20,SE Marsh,,2008,Kings XI Punjab,Deccan Chargers,field,Kings XI Punjab,Asad Rauf,SJ Davis,,"Punjab Cricket Association Stadium, Mohali",,6,Kings XI Punjab
